TLA,Journal,Primary Discipline,SPIN Major Disciplines Combined,JCR Information,Other Relevant Indexing,Open Access (OA),APC (If OA),SAGE Path Status
JLO,Journal of Leadership & Organizational Studies,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
LDX,Journal of Learning Disabilities,Education,Education,Impact Factor,SCOPUS,No,,
LIS,Journal of Librarianship and Information Science,Vocational & Professional Studies,Vocational & Professional Studies,Impact Factor,,No,,
JLR,Journal of Literacy Research,Education,Education,Impact Factor,,No,,
JMK,Journal of Macromarketing,Marketing & Hospitality,Business & Management,Impact Factor,SCOPUS,No,,
JOM,Journal of Management,Business & Management,Business & Management,Impact Factor,"Medline, SCOPUS",No,,
JME,Journal of Management Education,Business & Management,Business & Management,,"Medline, PMC, SCOPUS",No,,
JMI,Journal of Management Inquiry,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
JMX,Journal of Marketing,Marketing & Hospitality,Business & Management,Impact Factor,,No,,
JMD,Journal of Marketing Education,Marketing & Hospitality,Business & Management,,,No,,
MCU,Journal of Material Culture,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,"Medline, SCOPUS",No,,
JMB,Journal of Medical Biography,Other Health Specialties,Other Health Specialties,,"ESCI, SCOPUS",No,,
MEN,Journal of Men's Studies,Sociology,Sociology,,,No,,
JMF,Journal of Micromanufacturing,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,No,,
MMR,Journal of Mixed Methods Research,Research Methods & Evaluation,Education,Impact Factor,,No,,
MEH,Journal of Modern European History,European History,History,Impact Factor,,No,,
JMT,Journal of Music Teacher Education,Education,Education,,,No,,
JLU,Journal of National Law University New Delhi,Criminology & Criminal Justice,Criminology & Criminal Justice,,SCOPUS,No,,
JNS,Journal of Near Infrared Spectroscopy,"Maths, Physics, Chemistry & Computing","Maths, Physics, Chemistry & Computing",Impact Factor,"ESCI, SCOPUS",No,,
JNP,Journal of Onco-Nephrology,Clinical Medicine,Clinical Medicine,,SCOPUS,No,,Included
JOO,Journal of Orthodontics,Clinical Medicine,Other Health Specialties,,PMC,No,,
CRI,Journal of Patient Safety and Risk Management,Clinical Medicine,Clinical Medicine,,,No,,
JPR,Journal of Peace Research,Political Science & International Relations,Political Science & International Relations,Impact Factor,PMC,No,,
JPD,Journal of Peacebuilding & Development,Sociology,Political Science & International Relations,,"ESCI, SCOPUS",No,,
JPO,Journal of Pediatric Oncology Nursing,Nursing,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
JPP,Journal of Pharmacy Practice,Pharmacology & Toxicology,Other Health Specialties,,,No,,
JPE,Journal of Planning Education and Research,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
JPH,Journal of Planning History,History,History,,"Medline, SCOPUS",No,,
JPL,Journal of Planning Literature,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,"ESCI, Medline, SCOPUS",No,,
JPF,Journal of Plastic Film and Sheeting,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",Impact Factor,"ESCI, PMC",No,,
JPS,Journal of Psoriasis and Psoriatic Arthritis,Clinical Medicine,Clinical Medicine,,"Medline, PMC, SCOPUS",No,,Included
JPA,Journal of Psychoeducational Assessment,"Psychology, Psychiatry & Counseling",Education,Impact Factor,SCOPUS,No,,
JOP,Journal of Psychopharmacology,Pharmacology & Toxicology,Psychology,Impact Factor,SCOPUS,No,,
JRP,Journal of Reinforced Plastics and Composites,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,,No,,
JRC,Journal of Research in Crime and Delinquency,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,"ESCI, SCOPUS",No,,
JRI,Journal of Research in International Education,Education,Education,,"ESCI, SCOPUS",No,,
JRM,Journal of Research in Music Education,Education,Education,Impact Factor,"Medline, PMC, SCOPUS",No,,
JRN,Journal of Research in Nursing,Nursing,Social Work & Social Policy,,ESCI,No,,
JRL,Journal of Research on Leadership Education,Education,Education,,SCOPUS,No,,
JSM,Journal of Sandwich Structures and Materials,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JSL,Journal of School Leadership,Education,#N/A,,"ESCI, SCOPUS",No,,
JSN,Journal of School Nursing,Nursing,Nursing,Impact Factor,SCOPUS,No,,Included
JSO,Journal of Scleroderma and Related Disorders,Clinical Medicine,Clinical Medicine,,ESCI,No,,Included
JSR,Journal of Service Research,Marketing & Hospitality,Business & Management,Impact Factor,SCOPUS,No,,
JSA,Journal of Social Archaeology,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,SCOPUS,No,,
JSW,Journal of Social Work,"Psychology, Psychiatry & Counseling",Social Work & Social Policy,Impact Factor,"ESCI, SCOPUS",No,,
JOS,Journal of Sociology,Cultural Studies,Sociology,Impact Factor,SCOPUS,No,,
JST,Journal of Special Education Technology,Education,Education,,SCOPUS,No,,
JSF,Journal of Spiritual Formation and Soul Care,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,"Medline, SCOPUS",No,,
JSS,Journal of Sport and Social Issues,Sociology,Sociology,Impact Factor,"ESCI, SCOPUS",No,,
JSE,Journal of Sports Economics,Economics & Development Studies,Economics & Development Studies,Impact Factor,SCOPUS,No,,
JSC,Journal of Strategic Contracting and Negotiation,Business & Management,Business & Management,,SCOPUS,No,,
JSI,Journal of Studies in International Education,Education,Education,Impact Factor,"ESCI, SCOPUS",No,,
JTE,Journal of Teacher Education,Education,Education,Impact Factor,"Medline, SCOPUS",No,,
JTW,Journal of Technical Writing and Communication,Education,Education,,SCOPUS,No,,Included
JTT,Journal of Telemedicine and Telecare,Clinical Medicine,Public Health,Impact Factor,"PMC, SCOPUS",No,,
JAP,Journal of the American Psychiatric Nurses Association,Nursing,Nursing,Impact Factor,SCOPUS,No,,
APA,Journal of the American Psychoanalytic Association,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, PMC, SCOPUS",No,,
CRU,Journal of the ICRU,Life & Biomedical Sciences,#N/A,,,No,,
INC,Journal of the Intensive Care Society,Clinical Medicine,Nursing,,"Medline, SCOPUS",No,,Included
JRS,Journal of the Royal Society of Medicine,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
JTP,Journal of Theoretical Politics,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
JTC,Journal of Thermoplastic Composite Materials,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
JTD,Journal of Transformative Education,Education,Education,,SCOPUS,No,,Included
JTH,Journal of Transport History,History,History,,SCOPUS,No,,
JTR,Journal of Travel Research,Marketing & Hospitality,Vocational & Professional Studies,Impact Factor,"Medline, SCOPUS",No,,
JUH,Journal of Urban History,History,History,Impact Factor,"ESCI, SCOPUS",No,,
JVM,Journal of Vacation Marketing,Marketing & Hospitality,Vocational & Professional Studies,Impact Factor,,No,,
JVA,"Journal of Vascular Access, The",Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
JOV,Journal of Veterinary Dentistry,Other Health Specialties,Other Health Specialties,Impact Factor,"ESCI, Medline, PMC, SCOPUS",No,,
JVC,Journal of Vibration and Control,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,,No,,
JVB,Journal of Visual Impairment & Blindness,Education,Social Work & Social Policy,Impact Factor,,No,,
MHS,Journal on Migration and Human Security,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,No,,
JOU,Journalism,Communication & Media Studies,Political Science & International Relations,Impact Factor,SCOPUS,No,,
JMO,Journalism & Communication Monographs,Communication & Media Studies,Communication & Media Studies,,"ESCI, SCOPUS",No,,
JMC,Journalism & Mass Communication Educator,Communication & Media Studies,Communication & Media Studies,,"ESCI, SCOPUS",No,,
JMQ,Journalism & Mass Communication Quarterly,Communication & Media Studies,Communication & Media Studies,Impact Factor,SCOPUS,No,,
CVD,JRSM Cardiovascular Disease,Cardiology & Cardiovascular Medicine,Clinical Medicine,,SCOPUS,No,,Included
JRX,Justice Research and Policy,Criminology & Criminal Justice,Criminology & Criminal Justice,,,No,,
LSJ,Labor Studies Journal,Business & Management,Sociology,,"Medline, SCOPUS",No,,
LAN,Laboratory Animals,Life & Biomedical Sciences,Plant & Agricultural Sciences,Impact Factor,,No,,
LAL,Language and Literature,Language & Linguistics,Arts & Humanities,Impact Factor,"ESCI, SCOPUS",No,,
LAS,Language and Speech,Language & Linguistics,Psychology,Impact Factor,"Medline, SCOPUS",No,,
LTR,Language Teaching Research,Language & Linguistics,Education,Impact Factor,SCOPUS,No,,
LTJ,Language Testing,Language & Linguistics,Education,Impact Factor,SCOPUS,No,,
LAP,Latin American Perspectives,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
LCH,"Law, Culture and the Humanities",Arts & Humanities,Vocational & Professional Studies,,SCOPUS,No,,
LEA,Leadership,Business & Management,Psychology,Impact Factor,"PMC, SCOPUS",No,,
LDQ,Learning Disability Quarterly,Education,Education,Impact Factor,SCOPUS,No,,
LRT,Lighting Research & Technology,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
LQR,Linacre Quarterly,Clinical Medicine,Other Health Specialties,,,No,,
LRX,Literacy Research,Education,Education,,SCOPUS,No,,
LAH,Literature and History,Arts & Humanities,History,,"Medline, SCOPUS",No,,
LEC,Local Economy,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",,Medline,No,,
LUP,Lupus,Clinical Medicine,Life & Biomedical Sciences,Impact Factor,,No,,
MAA,Maastricht Journal of European and Comparative Law,Political Science & International Relations,Political Science & International Relations,,"ESCI, SCOPUS",No,,
MLS,Management and Labour Studies,Business & Management,Business & Management,,SCOPUS,No,,
MCQ,Management Communication Quarterly,Business & Management,Communication & Media Studies,Impact Factor,SCOPUS,No,,
MIE,Management in Education,Education,Education,,,No,,
MLQ,Management Learning,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
MAR,Margin - The Journal of Applied Economic Research,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
MMS,Mathematics & Mechanics of Solids,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,PMC,No,,
MIA,Media International Australia,Communication & Media Studies,Sociology,Impact Factor,SCOPUS,No,,
MCS,"Media, Culture & Society",Communication & Media Studies,Sociology,Impact Factor,"ESCI, PMC",No,,
MCR,Medical Care Research and Review,Public Health,Public Health,Impact Factor,SCOPUS,No,,
MDM,Medical Decision Making,Public Health,Public Health,Impact Factor,SCOPUS,No,,
MLI,Medical Law International,Other Health Specialties,Vocational & Professional Studies,,,No,,
MLJ,Medico-Legal Journal,Other Health Specialties,Public Health,,SCOPUS,No,,
MHJ,Medieval History Journal,History,History,,SCOPUS,No,,
JMM,Men and Masculinities,Sociology,Sociology,Impact Factor,SCOPUS,No,,
MET,Metamorphosis: A Journal of Management Research,Business & Management,Economics & Development Studies,,SCOPUS,No,,
MLA,Millennial Asia,Economics & Development Studies,Economics & Development Studies,,SCOPUS,No,,
MIL,Millennium: Journal of International Studies,Political Science & International Relations,Political Science & International Relations,Impact Factor,ESCI,No,,
MIS,Missiology,"Religion, Theology and Biblical Studies","Religion, Theology and Biblical Studies",,SCOPUS,No,,
MMC,Mobile Media & Communication,Communication & Media Studies,Communication & Media Studies,Impact Factor,SCOPUS,No,,
MCX,Modern China,Area & Ethnic Studies,Cultural Studies,Impact Factor,,No,,
MNS,Music & Science,Arts & Humanities,Arts & Humanities,,"Medline, PMC, SCOPUS",No,None,
MEJ,Music Educators Journal,Education,Education,,SCOPUS,No,,
BUL,NASSP Bulletin,Education,Education,,SCOPUS,No,,
BBS,Policy Insights from the Behavioral and Brain Sciences,"Psychology, Psychiatry & Counseling","Education,Psychology",,"ESCI, SCOPUS",No,,
MIN,Post Reproductive Health,Clinical Medicine,Clinical Medicine,,"Medline, PMC",No,,Included
HCS,Proceedings of the International Symposium of Human Factors and Ergonomics in Healthcare,"Psychology, Psychiatry & Counseling","Counseling & Psychotherapy,Counseling & Psychotherapy",,"Medline, SCOPUS",No,,
JBX,SLAS Discovery,Pharmacology & Toxicology,Life & Biomedical Sciences,Impact Factor,SCOPUS,No,,Included
JLA,SLAS Technology,Life & Biomedical Sciences,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",No,,Included
BMC,South Asian Journal of Business and Management Cases,Business & Management,Business & Management,,,No,,
HRM,South Asian Journal of Human Resources Management,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
INP,Studies in Indian Politics,Political Science & International Relations,Political Science & International Relations,,PMC,No,,
MIC,Studies in Microeconomics,Economics & Development Studies,Economics & Development Studies,,"Medline, SCOPUS",No,,
DIJ,Therapeutic Innovation & Regulatory Science,Pharmacology & Toxicology,Public Health,Impact Factor,,No,,
